time,enrolled,available,waitlisted,total
2024-02-16T04:30:23,0,9999,0,9999
2024-02-16T04:46:26,0,9999,0,9999
2024-02-16T05:02:42,0,9999,0,9999
2024-02-16T05:18:10,0,9999,0,9999
2024-02-16T05:33:29,0,9999,0,9999
2024-02-16T05:48:52,0,9999,0,9999
2024-02-16T06:04:13,0,9999,0,9999
2024-02-16T06:19:34,0,9999,0,9999
2024-02-16T06:35:04,0,9999,0,9999
2024-02-16T06:50:54,0,9999,0,9999
2024-02-16T07:06:29,0,9999,0,9999
2024-02-16T07:21:44,0,9999,0,9999
2024-02-16T07:37:09,0,9999,0,9999
2024-02-16T07:52:32,0,9999,0,9999
2024-02-16T08:07:51,0,9999,0,9999
2024-02-16T08:23:05,0,9999,0,9999
2024-02-16T08:38:21,0,9999,0,9999
2024-02-16T08:53:47,0,9999,0,9999
2024-02-16T09:09:16,0,9999,0,9999
2024-02-16T09:25:03,0,9999,0,9999
2024-02-16T09:41:18,0,9999,0,9999
2024-02-16T09:56:38,0,9999,0,9999
2024-02-16T10:11:57,0,9999,0,9999
2024-02-16T10:27:16,0,9999,0,9999
2024-02-16T10:42:34,0,9999,0,9999
2024-02-16T10:57:54,0,9999,0,9999
2024-02-16T11:13:25,0,9999,0,9999
2024-02-16T11:28:42,0,9999,0,9999
2024-02-16T11:44:01,0,9999,0,9999
2024-02-16T11:59:20,0,9999,0,9999
2024-02-16T12:14:42,0,9999,0,9999
2024-02-16T12:30:11,0,9999,0,9999
2024-02-16T12:45:28,0,9999,0,9999
2024-02-16T13:00:46,0,9999,0,9999
2024-02-16T13:16:08,0,9999,0,9999
2024-02-16T13:31:25,0,9999,0,9999
2024-02-16T13:46:57,0,9999,0,9999
2024-02-16T14:02:12,0,9999,0,9999
2024-02-16T14:17:28,0,9999,0,9999
2024-02-16T14:32:48,0,9999,0,9999
2024-02-16T14:48:03,0,9999,0,9999
2024-02-16T15:03:35,0,9999,0,9999
2024-02-16T15:18:52,0,9999,0,9999
2024-02-16T15:34:07,0,9999,0,9999
2024-02-16T15:49:32,0,9999,0,9999
2024-02-16T16:04:48,0,9999,0,9999
2024-02-16T16:20:21,0,9999,0,9999
2024-02-16T16:35:36,0,9999,0,9999
2024-02-16T16:50:56,0,9999,0,9999
2024-02-16T17:06:15,0,9999,0,9999
2024-02-16T17:21:44,0,9999,0,9999
2024-02-16T17:37:10,0,9999,0,9999
2024-02-16T17:52:29,0,9999,0,9999
2024-02-16T18:07:53,0,9999,0,9999
2024-02-16T18:23:13,0,9999,0,9999
2024-02-16T18:38:27,0,9999,0,9999
2024-02-16T18:53:46,0,9999,0,9999
2024-02-16T19:09:15,0,9999,0,9999
2024-02-16T19:24:36,0,9999,0,9999
2024-02-16T19:40:00,0,9999,0,9999
2024-02-16T19:55:29,0,9999,0,9999
2024-02-16T20:10:57,0,9999,0,9999
